Number   ,Headword   ,Related word forms   ,SFI   ,U   
1,the,,87.8,60910
2,be,"am, are, aren't, been, being, beings, is, isn't, was, wasn't, were, weren't",86.9,48575
3,and,,84.9,30789
4,of,,84.8,30126
5,to,,84.7,29272
6,a,an,84.5,27872
7,in,,83.3,21143
8,have,"had, hadn't, has, hasn't, haven't, having",81.5,14210
9,it,its,81.4,13772
10,you,"your, yours",81.1,12810
11,he,"him, his",80.4,11017
12,for,,80,10025
13,they,"their, theirs, them",79.9,9764
14,not,,79.8,9494
15,that,those,79.4,8653
16,we,"our, ours, us",79.2,8401
17,on,,78.9,7763
18,with,,78.7,7381
19,this,these,78.5,7003
20,i,"me, my",78.3,6820
21,do,"did, didn't, does, doesn't, doing, don't, done",78.3,6802
22,as,,78.3,6747
23,at,,77.5,5570
24,she,"her, hers",77.2,5195
25,but,buts,77.1,5087
26,from,,76.6,4598
27,by,,76.4,4323
28,will,"willed, willing, won't",76.2,4195
29,or,,76.1,4060
30,say,"said, saying, sayings, says",75.3,3425
31,go,"goes, going, gone, gonna, went",75.1,3260
32,so,,75.1,3227
33,all,,75,3175
34,if,ifs,74.8,3009
35,one,ones,74.8,2997
36,would,wouldn't,74.8,2997
37,about,,74.7,2967
38,can,"can't, cannot",74.6,2890
39,which,,74.6,2886
40,there,,74.5,2820
41,know,"knew, knowing, known, knows",74.2,2634
42,more,,74.2,2631
43,get,"gets, getting, got, gotta, gotten",74.1,2573
44,who,"whom, whose",74,2534
45,like,"liked, likes, liking",73.9,2465
46,when,,73.9,2435
47,think,"thinking, thinks, thought, thoughts",73.9,2433
48,make,"made, makes, making",73.7,2359
49,time,"timed, times, timing",73.6,2302
50,see,"saw, seeing, seen, sees",73.5,2226
51,what,,73.4,2204
52,up,"upped, upping, ups",73.3,2150
53,some,,73.3,2130
54,other,others,73.2,2100
55,out,"outed, outing, outings, outs",73.1,2064
56,good,,73.1,2038
57,people,"peopled, peoples, peopling",73.1,2019
58,year,years,72.9,1949
59,take,"taken, takes, taking, took",72.7,1873
60,no,,72.7,1854
61,well,"welled, welling, wells",72.6,1835
62,because,,72.6,1824
63,very,,72.5,1792
64,just,,72.4,1751
65,come,"came, comes, coming",72.3,1694
66,could,"coulda, couldn't",72.3,1688
67,work,"worked, working, workings, works",72.2,1674
68,use,"used, uses, using",72.2,1657
69,than,,72,1591
70,now,,71.9,1563
71,then,,71.9,1554
72,also,,71.9,1552
73,into,,71.7,1478
74,only,,71.7,1475
75,look,"looked, looking, looks",71.4,1370
76,want,"wanna, wanted, wanting, wants",71.3,1354
77,give,"gave, given, gives, giving",71.2,1332
78,first,firsts,71.2,1321
79,new,"newer, newest",71.1,1290
80,way,ways,71.1,1279
81,find,"finding, findings, finds",70.9,1236
82,over,overs,70.9,1235
83,any,,70.9,1224
84,after,,70.8,1210
85,day,days,70.7,1187
86,where,,70.7,1187
87,thing,things,70.6,1161
88,most,,70.6,1146
89,should,"shoulda, shouldn't",70.5,1132
90,need,"needed, needing, needs",70.5,1129
91,much,,70.5,1125
92,right,"righted, righting, rights",70.5,1113
93,how,,70.4,1093
94,back,"backed, backing, backs",70.2,1051
95,mean,"meaner, meanest, meaning, meanings, means, meant",70.1,1021
96,even,"evened, evens",69.9,988
97,may,,69.8,959
98,here,,69.8,947
99,many,,69.8,945
100,such,,69.7,936
101,last,"lasted, lasting, lasts",69.6,917
102,child,children,69.6,910
103,tell,"telling, tells, told",69.5,901
104,really,,69.4,870
105,call,"called, calling, calls",69.4,869
106,before,,69.3,849
107,company,companies,69.3,842
108,through,,69.2,838
109,down,"downed, downing, downs",69.2,833
110,show,"showed, showing, shown, shows",69.2,827
111,life,,69.1,812
112,man,"manned, manning, mans, men",69.1,807
113,change,"changed, changes, changing",69,799
114,place,"placed, places, placing",69,795
115,long,"longed, longer, longest, longing, longs",69,791
116,between,,68.9,784
117,feel,"feeling, feelings, feels, felt",68.9,780
118,too,,68.8,763
119,still,"stilled, stiller, stillest, stilling, stills",68.8,752
120,problem,problems,68.6,733
121,write,"writes, writing, writings, written, wrote",68.6,732
122,same,,68.6,721
123,lot,lots,68.5,715
124,great,"greater, greatest, greats",68.5,710
125,try,"tried, tries, trying",68.4,699
126,leave,"leaved, leaves, leaving",68.4,699
127,number,"numbered, numbering, numbers",68.4,698
128,both,,68.4,695
129,own,"owned, owning, owns",68.4,693
130,part,"parted, parting, parts",68.4,692
131,point,"pointed, pointing, points",68.3,684
132,little,"littler, littlest",68.3,681
133,help,"helped, helping, helpings, helps",68.3,680
134,ask,"asked, asking, asks",68.3,675
135,meet,"meeting, meetings, meets, met",68.3,671
136,start,"started, starting, starts",68.3,669
137,talk,"talked, talking, talks",68.2,665
138,something,,68.2,665
139,put,"puts, putting",68.2,655
140,another,,68.2,655
141,become,"became, becomes, becoming",68.2,654
142,interest,"interested, interesting, interests",68.1,653
143,country,countries,68.1,653
144,old,"older, oldest",68.1,647
145,each,,68.1,646
146,school,"schooled, schooling, schools",68,638
147,late,"later, latest",68,638
148,high,"higher, highest, highs",68,637
149,different,,68,636
150,off,"offed, offing, offs",68,630
151,next,,67.9,620
152,end,"ended, ending, ends",67.9,619
153,live,"lived, lives, living",67.8,608
154,why,,67.8,607
155,while,"whiled, whiles, whiling",67.8,598
156,world,worlds,67.8,597
157,week,weeks,67.8,596
158,play,"played, playing, plays",67.7,593
159,might,"mighta, mightn't",67.7,587
160,must,"musta, mustn't",67.7,586
161,home,"homed, homes, homing",67.7,585
162,never,,67.6,580
163,include,"included, includes, including",67.6,575
164,course,"coursed, courses, coursing",67.6,575
165,house,"housed, houses, housing",67.6,572
166,report,"reported, reporting, reports",67.6,570
167,group,"grouped, grouping, groups",67.6,569
168,case,"cased, cases, casing, casings",67.6,569
169,woman,women,67.5,568
170,around,,67.5,568
171,book,"booked, booking, bookings, books",67.5,566
172,family,families,67.5,565
173,seem,"seemed, seeming, seems",67.5,562
174,let,"lemme, lets, letting",67.4,555
175,again,,67.4,554
176,kind,"kinder, kindest, kinds",67.4,554
177,keep,"keeping, keeps, kept",67.4,551
178,hear,"heard, hearing, hears",67.4,546
179,system,systems,67.4,545
180,every,,67.4,545
181,question,"questioned, questioning, questions",67.3,542
182,during,,67.3,540
183,always,,67.2,531
184,big,"bigger, biggest",67.2,527
185,set,"sets, setting, settings",67.2,526
186,small,"smaller, smallest",67.2,525
187,study,"studied, studies, studying",67.2,524
188,follow,"followed, following, follows",67.2,521
189,begin,"began, beginning, beginnings, begins, begun",67.1,518
190,important,,67.1,518
191,since,,67.1,515
192,run,"ran, running, runs",67.1,510
193,under,,67.1,509
194,turn,"turned, turning, turns",67.1,509
195,few,"fewer, fewest",67.1,509
196,bring,"bringing, brings, brought",67,502
197,early,"earlier, earliest",67,499
198,hand,"handed, handing, hands",67,497
199,state,"stated, states, stating",66.9,494
200,move,"moved, moves, moving",66.9,493
201,money,,66.9,492
202,fact,facts,66.9,486
203,however,,66.8,479
204,area,areas,66.8,477
205,provide,"provided, provides, providing",66.8,476
206,name,"named, names, naming",66.7,472
207,read,"reading, readings, reads",66.7,471
208,friend,friends,66.7,468
209,month,months,66.7,468
210,large,"larger, largest",66.7,464
211,business,businesses,66.7,464
212,without,,66.6,461
213,information,,66.6,459
214,open,"opened, opening, openings, opens",66.6,459
215,order,"ordered, ordering, orders",66.6,456
216,government,governments,66.6,455
217,word,"worded, wording, words",66.6,455
218,issue,"issued, issues, issuing",66.6,453
219,market,"marketed, marketing, markets",66.5,450
220,pay,"paid, paying, pays",66.5,447
221,build,"building, buildings, builds, built",66.5,446
222,hold,"held, holding, holdings, holds",66.4,442
223,service,"serviced, services, servicing",66.4,440
224,against,,66.4,436
225,believe,"believed, believes, believing",66.4,435
226,second,"sec, seconded, seconding, seconds",66.4,433
227,though,,66.3,430
228,yes,yeses,66.3,430
229,love,"loved, loves, loving",66.3,427
230,increase,"increased, increases, increasing",66.3,425
231,job,"jobbing, jobs",66.3,425
232,plan,"planned, planning, plans",66.3,425
233,result,"resulted, resulting, results",66.3,424
234,away,,66.3,424
235,example,examples,66.2,420
236,happen,"happened, happening, happenings, happens",66.2,420
237,offer,"offered, offering, offerings, offers",66.2,418
238,young,"younger, youngest",66.2,417
239,close,"closed, closer, closes, closest, closing",66.2,416
240,program,"programed, programing, programme, programmed, programmes, programming, programs",66.2,414
241,lead,"leading, leads, led",66.1,410
242,buy,"bought, buying, buys",66.1,405
243,understand,"understanding, understands, understood",66.1,403
244,thank,"thanked, thanking, thanks",66,399
245,far,"farther, farthest",66,398
246,today,,65.9,392
247,hour,hours,65.9,391
248,student,students,65.9,391
249,face,"faced, faces, facing",65.9,390
250,hope,"hoped, hopes, hoping",65.9,388
251,idea,ideas,65.9,387
252,cost,"costing, costs",65.9,386
253,less,,65.9,385
254,room,"roomed, rooming, rooms",65.9,385
255,until,,65.8,383
256,reason,"reasoned, reasoning, reasons",65.8,383
257,form,"formed, forming, forms",65.8,379
258,spend,"spending, spends, spent",65.8,378
259,head,"headed, heading, headings, heads",65.8,378
260,car,cars,65.8,377
261,learn,"learned, learning, learns, learnt",65.7,375
262,level,"leveled, leveling, levelled, levelling, levels",65.7,373
263,person,persons,65.7,368
264,experience,"experienced, experiences, experiencing",65.6,365
265,once,,65.6,365
266,member,members,65.6,364
267,enough,,65.6,363
268,bad,"worse, worst",65.6,363
269,city,cities,65.6,362
270,night,nights,65.6,361
271,able,"abler, ablest",65.6,361
272,support,"supported, supporting, supports",65.5,359
273,whether,,65.5,359
274,line,"lined, lines, lining",65.5,358
275,present,"presented, presenting, presents",65.5,358
276,side,"sided, sides, siding",65.5,356
277,quite,,65.5,354
278,although,,65.5,351
279,sure,"surer, surest",65.4,351
280,term,"termed, terming, terms",65.4,350
281,least,,65.4,350
282,age,"aged, ageing, ages, aging",65.4,349
283,low,"lowed, lower, lowered, lowering, lowers, lowest, lowing, lows",65.4,349
284,speak,"speaking, speaks, spoke, spoken",65.4,348
285,within,,65.4,347
286,process,"processed, processes, processing",65.4,346
287,public,,65.4,343
288,often,,65.3,341
289,train,"trained, training, trains",65.3,338
290,possible,,65.3,337
291,actually,,65.3,337
292,rather,,65.3,336
293,view,"viewed, viewing, views",65.3,336
294,together,,65.2,334
295,consider,"considered, considering, considers",65.2,334
296,price,"priced, prices, pricing",65.1,327
297,parent,"parented, parenting, parents",65.1,326
298,hard,"harder, hardest",65.1,325
299,party,"partied, parties, partying",65.1,322
300,local,locals,65.1,321
301,control,"controlled, controlling, controls",65.1,320
302,already,,65,318
303,concern,"concerned, concerning, concerns",65,317
304,product,products,65,317
305,lose,"loses, losing, lost",65,316
306,story,"storey, storied, stories",65,315
307,almost,,65,315
308,continue,"continued, continues, continuing",65,314
309,stand,"standing, stands, stood",65,313
310,whole,wholes,65,313
311,yet,,65,313
312,rate,"rated, rates, rating, ratings",64.9,312
313,care,"cared, cares, caring",64.9,311
314,expect,"expected, expecting, expects",64.9,311
315,effect,"effected, effecting, effects",64.9,311
316,sort,"sorted, sorting, sorts",64.9,311
317,ever,,64.9,311
318,anything,,64.9,310
